frame,time,direction
954,47.7,blinking
955,47.75,blinking
956,47.8,blinking
957,47.85,blinking
958,47.9,blinking
959,47.95,blinking
960,48.0,blinking
961,48.05,blinking
962,48.1,blinking
963,48.15,blinking
964,48.2,blinking
965,48.25,blinking
966,48.3,blinking
967,48.35,blinking
968,48.4,blinking
969,48.45,blinking
970,48.5,blinking
971,48.55,blinking
972,48.6,blinking
973,48.65,blinking
974,48.7,blinking
975,48.75,blinking
976,48.8,blinking
977,48.85,blinking
978,48.9,blinking
979,48.95,blinking
980,49.0,blinking
981,49.05,blinking
982,49.1,blinking
983,49.15,blinking
984,49.2,blinking
985,49.25,blinking
986,49.3,blinking
987,49.35,blinking
988,49.4,blinking
989,49.45,blinking
990,49.5,blinking
991,49.55,blinking
992,49.6,blinking
993,49.65,blinking
994,49.7,blinking
995,49.75,blinking
996,49.8,blinking
997,49.85,blinking
998,49.9,blinking
999,49.95,blinking
1000,50.0,left
1001,50.05,center
1002,50.1,unknown
1003,50.15,unknown
1004,50.2,unknown
1005,50.25,unknown
1006,50.3,unknown
1007,50.35,unknown
1008,50.4,unknown
1009,50.45,unknown
1010,50.5,unknown
1011,50.55,unknown
1012,50.6,unknown
1013,50.65,unknown
1014,50.7,unknown
1015,50.75,unknown
1016,50.8,unknown
1017,50.85,unknown
1018,50.9,unknown
1019,50.95,unknown
1020,51.0,unknown
1021,51.05,unknown
1022,51.1,unknown
1023,51.15,unknown
1024,51.2,unknown
1025,51.25,unknown
1026,51.3,unknown
1027,51.35,unknown
1028,51.4,unknown
1029,51.45,unknown
1030,51.5,unknown
1031,51.55,unknown
1032,51.6,unknown
1033,51.65,unknown
1034,51.7,unknown
1035,51.75,unknown
1036,51.8,unknown
1037,51.85,unknown
1038,51.9,unknown
1039,51.95,unknown
1040,52.0,unknown
1041,52.05,unknown
1042,52.1,unknown
1043,52.15,unknown
1044,52.2,unknown
1045,52.25,unknown
1046,52.3,unknown
1047,52.35,unknown
1048,52.4,unknown
1049,52.45,unknown
1050,52.5,unknown
1051,52.55,unknown
1052,52.6,unknown
1053,52.65,unknown
1054,52.7,unknown
1055,52.75,unknown
1056,52.8,unknown
1057,52.85,unknown
1058,52.9,unknown
1059,52.95,unknown
1060,53.0,unknown
1061,53.05,unknown
1062,53.1,unknown
1063,53.15,unknown
1064,53.2,unknown
1065,53.25,unknown
1066,53.3,unknown
1067,53.35,unknown
1068,53.4,unknown
1069,53.45,unknown
1070,53.5,unknown
1071,53.55,unknown
1072,53.6,unknown
1073,53.65,unknown
1074,53.7,unknown
1075,53.75,unknown
1076,53.8,unknown
1077,53.85,unknown
1078,53.9,unknown
1079,53.95,unknown
1080,54.0,unknown
1081,54.05,unknown
1082,54.1,unknown
1083,54.15,unknown
1084,54.2,unknown
1085,54.25,unknown
1086,54.3,unknown
1087,54.35,unknown
1088,54.4,unknown
1089,54.45,unknown
1090,54.5,unknown
1091,54.55,unknown
1092,54.6,unknown
1093,54.65,unknown
1094,54.7,unknown
1095,54.75,unknown
1096,54.8,unknown
1097,54.85,unknown
1098,54.9,unknown
1099,54.95,unknown
1100,55.0,unknown
1101,55.05,unknown
1102,55.1,unknown
1103,55.15,unknown
1104,55.2,unknown
1105,55.25,unknown
1106,55.3,unknown
1107,55.35,unknown
1108,55.4,unknown
1109,55.45,unknown
1110,55.5,unknown
1111,55.55,unknown
1112,55.6,unknown
1113,55.65,unknown
1114,55.7,unknown
1115,55.75,unknown
1116,55.8,unknown
1117,55.85,unknown
1118,55.9,unknown
1119,55.95,unknown
1120,56.0,unknown
1121,56.05,unknown
1122,56.1,unknown
1123,56.15,unknown
1124,56.2,unknown
1125,56.25,unknown
1126,56.3,unknown
1127,56.35,unknown
1128,56.4,unknown
1129,56.45,unknown
1130,56.5,unknown
1131,56.55,unknown
1132,56.6,unknown
1133,56.65,unknown
1134,56.7,unknown
1135,56.75,unknown
